"id","day","subject1","room_numb","start_time","num","ned"
1,"ЧТ","История(пр)","А-310","15:25-17:00","4","нч"
2,"ПН","Введение в информационные технологии(л)","Н-457","09:30-11:05","1","нч"
3,"ПН","Высшая математика(л)","Н-514","11:20-12:55","2","нч"
4,"ВТ","Введение в информационные технологии(лаб)","Н-452","11:20-12:55","2","нч"
5,"ВТ","Физика(л)","Н-227","13:10-14:45","3","нч"
6,"ВТ","Физика(пр)","Н-320","15:25-17:00","4","нч"
7,"СР","Высшая математика(пр)","А-310","11:20-12:55","2","нч"
8,"СР","История(л)","А-317","13:10-14:45","3","нч"
9,"ЧТ","Высшая математика(л)","А-307","11:20-12:55","2","нч"
10,"ЧТ","Физическая культура(пр)","А-З-1","13:10-14:45","3","нч"
11,"ВТ","Введение в информационные технологии(л)","Н-457","09:30-1105","1","чтн"
12,"ВТ","Физическая культура(пр)","Н-З-2","11:20-12:55","2","чтн"
13,"ВТ","Физика(лаб)","Н-322","13:10-14:45","3","чтн"
14,"ВТ","Высшая математика(пр)","Н-302","15:25-17:00","4","чтн"
15,"ВТ","История(пр)","Н-318","17:15-18:55","5","чтн"
16,"СР","Физика(пр)","Н-345","11:20-12:55","2","чтн"
17,"СР","Введение в информационные технологии(лаб)","Н454","13:10-14:45","3","чтн"
18,"ЧТ","Высшая математика(л)","А-322","09:30-11:05","1","чтн"
19,"ЧТ","Физическая культура(пр)","А-З-1","11:20-12:55","2","чтн"
20,"ЧТ","Высшая математика(пр)","А-322","13:10-14:45","3","чтн"
21,"ПТ","Введение в информационные технологии(лаб)","Н-454","11:20-12:55","2","чтн"
